N,time
0,0.000009000
100,0.000641000
200,0.000778000
300,0.001317000
400,0.002667000
500,0.001591000
600,0.001959000
700,0.002628000
800,0.003091000
900,0.012541000
1000,0.004291000
1100,0.003765000
1200,0.002610000
1300,0.003162000
1400,0.004145000
1500,0.005224000
1600,0.006950000
1700,0.004880000
1800,0.005237000
1900,0.018730000
2000,0.006086000
2100,0.007093000
2200,0.007388000
2300,0.008510000
2400,0.011913000
2500,0.026103000
2600,0.023909000
2700,0.010550000
2800,0.011320000
2900,0.012209000
3000,0.013156000
3100,0.014089000
3200,0.018959000
3300,0.031598000
3400,0.016814000
3500,0.020061000
3600,0.021773000
3700,0.021509000
3800,0.021815000
3900,0.023104000
4000,0.025375000
4100,0.088170000
4200,0.058628000
4300,0.030973000
4400,0.063434000
4500,0.031197000
4600,0.031009000
4700,0.032917000
4800,0.033309000
4900,0.035501000
5000,0.045476000
5100,0.104997000
5200,0.039034000
5300,0.040775000
5400,0.042372000
5500,0.045955000
5600,0.094899000
5700,0.126029000
5800,0.049041000
5900,0.050417000
6000,0.052346000
6100,0.054944000
6200,0.057500000
6300,0.066265000
6400,0.090701000
6500,0.061002000
6600,0.063001000
6700,0.065459000
6800,0.101493000
6900,0.142625000
7000,0.072500000
7100,0.224782000
7200,0.077034000
7300,0.210354000
7400,0.080388000
7500,0.080863000
7600,0.189425000
7700,0.255037000
7800,0.090293000
7900,0.092232000
8000,0.145043000
8100,0.216499000
8200,0.097910000
8300,0.236963000
8400,0.102452000
8500,0.164015000
8600,0.105871000
8700,0.311684000
8800,0.114953000
8900,0.223296000
9000,0.305672000
9100,0.121773000
9200,0.312768000
9300,0.127456000
9400,0.184410000
9500,0.245874000
9600,0.239233000
9700,0.136577000
9800,0.137106000
9900,0.144368000
10000,0.442815000
10100,0.147578000
10200,0.360630000
10300,0.452548000
10400,0.318559000
10500,0.158616000
10600,0.306334000
10700,0.458771000
10800,0.281011000
10900,0.171560000
11000,0.176193000
11100,0.375833000
11200,0.499386000
11300,0.317152000
11400,0.275740000
11500,0.544390000
11600,0.475516000
11700,0.200906000
11800,0.468662000
11900,0.517536000
12000,0.472485000
12100,0.605719000
12200,0.554820000
12300,0.397075000
12400,0.572103000
12500,0.603572000
12600,0.232291000
12700,0.566039000
12800,0.702329000
12900,0.254507000
13000,0.550422000
13100,0.625417000
13200,0.778968000
13300,0.588591000
13400,0.708707000
13500,0.577852000
13600,0.371160000
13700,0.770996000
13800,0.727055000
13900,0.277615000
14000,0.847650000
14100,0.590524000
14200,0.786015000
14300,0.716525000
14400,0.306964000
14500,0.573067000
14600,0.831568000
14700,0.567801000
14800,0.371868000
14900,0.517850000
15000,0.747050000
15100,0.863730000
15200,0.919112000
15300,0.880740000
15400,1.039521000
15500,0.947904000
15600,0.799610000
15700,0.861170000
15800,0.656941000
15900,0.561053000
16000,1.088121000
16100,0.366476000
16200,1.124275000
16300,0.419056000
16400,0.964019000
16500,0.384137000
16600,0.386742000
16700,0.404305000
16800,1.139447000
16900,0.903768000
17000,0.426116000
17100,0.702776000
17200,0.420411000
17300,0.427478000
17400,0.574111000
17500,1.337427000
17600,1.187009000
17700,0.447324000
17800,1.308201000
17900,1.380074000
18000,1.085722000
18100,0.796864000
18200,0.964347000
18300,1.434736000
18400,0.573366000
18500,0.473008000
18600,0.489016000
18700,0.895245000
18800,1.448152000
18900,0.622155000
19000,0.495064000
19100,1.039602000
19200,1.510654000
19300,0.759227000
19400,0.533393000
19500,0.814765000
19600,1.191951000
19700,0.758194000
19800,0.811000000
19900,0.921630000
20000,0.870967000
20100,0.581880000
20200,0.911036000
20300,0.938102000
20400,0.963721000
20500,1.857958000
20600,1.825227000
20700,0.868048000
20800,1.490164000
20900,1.020843000
21000,1.182208000
21100,1.174596000
21200,0.662210000
21300,0.921182000
21400,0.706551000
21500,1.994354000
21600,0.661338000
21700,0.701406000
21800,0.829111000
21900,1.829535000
22000,0.995647000
22100,1.762282000
22200,1.685251000
22300,1.741020000
22400,1.769093000
22500,1.460871000
22600,1.365160000
22700,1.560180000
22800,1.805400000
22900,2.095411000
23000,2.167469000
23100,1.490146000
23200,2.276690000
23300,1.800187000
23400,0.885717000
23500,1.671019000
23600,0.791654000
23700,1.823682000
23800,2.320854000
23900,2.262680000
24000,2.457857000
24100,2.520651000
24200,0.824741000
24300,1.134477000
24400,1.184483000
24500,1.257781000
24600,1.296823000
24700,1.344281000
24800,1.319277000
24900,1.067405000
25000,0.873263000
25100,0.963495000
25200,0.893661000
25300,0.901256000
25400,0.932245000
25500,0.918853000
25600,0.920277000
25700,0.949967000
25800,1.085662000
25900,0.957179000
26000,1.246582000
26100,0.954485000
26200,1.282289000
26300,0.989750000
26400,1.306354000
26500,1.003330000
26600,1.293091000
26700,0.997903000
26800,1.240782000
26900,1.006804000
27000,1.020590000
27100,1.065041000
27200,1.041030000
27300,1.144666000
27400,1.060219000
27500,1.245447000
27600,1.122940000
27700,1.445820000
27800,1.096772000
27900,1.666360000
28000,1.114702000
28100,1.847509000
28200,1.124877000
28300,1.712422000
28400,1.142493000
28500,1.762449000
28600,1.173859000
28700,1.198411000
28800,1.314572000
28900,1.206109000
29000,1.669553000
29100,1.204483000
29200,1.972959000
29300,1.246284000
29400,1.624693000
29500,1.287133000
29600,1.372611000
29700,1.450620000
29800,1.291966000
29900,1.966989000
30000,1.270644000
