N,time
0,0.000008
10000,0.182299
20000,1.199259
30000,4.256019
40000,6.754097
50000,11.855814
60000,17.063003
70000,20.843618
80000,30.323501
90000,37.446102
100000,45.197779
110000,57.547547
120000,68.279320
130000,73.480093
140000,90.627143
150000,104.619223
160000,114.538038
170000,129.585501
180000,150.439893
190000,175.829248
200000,187.476137
