N,time
0,0.0000
2000,0.0299
4000,0.0343
6000,0.0823
8000,0.1131
10000,0.1763
12000,0.2564
14000,0.3476
16000,0.7382
18000,0.5848
20000,0.7427
22000,1.3895
24000,1.3127
26000,1.6364
28000,1.1662
30000,2.0138
